Data do comentario;Estrela;Usuario;Comentário;Canal
01/03/2022;5 estrelas;Kelly Costa;Excelente escola em todos os sentidos. Minha filha desenvolveu demais. Sem palavras para o acolhimento e o capricho em tudo o que é feito na escola. Ótimos profissionais!;Google
02/03/2022;5 estrelas;Gisele Zambl;;Google
18/01/2021;5 estrelas;Yara;;Google
16/09/2019;5 estrelas;Gabriela Giorgi;;Google
02/02/2019;5 estrelas;Cibelle;Excelente escola, super recomendo. Direção e coordenação atenciosos, além de uma excelente equipe de professores.;Google
23/01/2018; 5 estrelas;Maria Celia;;Google
30/04/2021;5 estrelas;Cibelle;Excelente colégio trabalhei alguns anos atrás como professora de educação infantil. Mesmo hoje não trabalhando lá, ainda tenho um carinho grande por toda equipe. Posso garantir que seus filhos serão bem atendidos por uma equipe de profissionais sensacionais, porque além de ensinar o Colégio Sonho Meu é uma grande família, não é por acaso que estão atuando há anos com educação. ;Facebook
30/04/2021;5 estrelas;Priscila Lopes;ótima dedicação e cuidado com as crianças... super atenciosos... meu filho ama estudar la;Facebook
30/04/2021;5 estrelas;Deise;Meu filho ama ir para a escola e eu me sinto tranquila pela equipe tão competente e carinhosa. Principalmente agora, nesta fase tão delicada que estamos passando, o acolhimento tem sido muito especial. Eu super recomendo;Facebook
30/04/2021;5 estrelas;Barbara;O Colégio Sonho Meu trata seus alunos como mais do que crianças, clientes ou pessoas. Os alunos e suas famílias são os parceiros de um Sonho. Sonho de ensinar com  qualidade, de sermos bem cuidados, de formar pessoas de bom caráter e de trabalho em equipe. Agradeço ao Colégio Sonho Meu pelos oito anos que estamos juntos, nos quais pude confiar a vocês a tarefa mais importante que é auxiliar meus dois filhos nesse processo lindo que é APRENDER;Facebook
30/04/2021;5 estrelas;Deise Veronese;Posso dizer que é uma escola que acolhe não somente ao aluno como a todos familiares. Tem uma equipe maravilhosa! Só tenho a agradecer por todos esses anos de dedicação.;Facebook
03/05/2021;5 estrelas;Helena;Meus netos frequentam o berçário desde os 6 meses. Super recomendo! As berçaristas são muito atenciosas e carinhosas.;Facebook
30/04/2021;5 estrelas;Taty;Um colégio excelente, com uma equipe preparada que se preocupa em transmitir o melhor conteúdo educacional sem perder a atmosfera familiar. Meu filho se sente em casa e nós pais seguros.;Facebook
02/05/2021;5 estrelas;Gabriela Canuto;O Colégio Sonho Meu é aquele colégio bem familia sabe! Todos são muito queridos e muito amorosos com as crianças e com os familiares! Super recomendo!;Facebook
01/05/2021;5 estrelas;Alessandra Romeika;Minha filha está com 10 anos de idade e entrou nesse colégio com 1 aninho, ou seja , desde o berçário. Amamos o profissionalismo e dedicação dos profissionais e recomendo de olhos fechados. Esse ano encerra o ciclo da minha filha no Colégio, mas somos gratas por te-la preparado tão cuidadosamente para os próximos passos.;Facebook
30/04/2021;5 estrelas;Caroline Garcia;Nossa escola do coração. Minha filha é bem tratada e ama ir para lá. me sinto segura em saber que lá é a extensão de casa.;Facebook
01/05/2021;5 estrelas;Gabriela De oliveira;Foi a minha melhor escolha após muitas pesquisas na região. Quando fui conhecer eu tive a confirmação de que seria naquele ambiente que eu queria que minha filha ficasse. A Marina integrou a família Sonho Meu aos 5 meses. Eu só tenho a agradecer todo o carinho e cuidado recebido no berçário e que se estende até hoje. Tenho total confiança no serviço prestado, profissionais altamente qualificados que fazem tudo com humanização, cuidado e muito amor. Eu só tenho a agradecer por tudo e dizer que SIM recomendo a escola. Nossos pequenos merecem o melhor e o Colégio Sonho Meu oferece além do que esperamos. É muito carinho e cuidado com os pequenos e com os pais também. Obrigada;Facebook
30/04/2021;5;Kelly Costa;Gostaria imensamente de agradecer o Colegio Sonho Meu por todo carinho, dedicação e o cuidado com a minha pequena!!! Obrigada por todos os dias recebê-la com alegria... A Duda ama! Quer ir para a escola todos os dias até o final de semana (rsrs)!;Facebook
